,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Kareem Abdul-Jabbar,C,33.0,LAL,80.0,0.0,2976.0,836.0,1457.0,0.574,0.0,1.0,0.0,836.0,1456.0,0.574,0.574,423.0,552.0,0.766,197.0,624.0,821.0,272.0,59.0,228.0,249.0,244.0,2095.0,1981
1,Tom Abernethy,SF,26.0,TOT,39.0,0.0,298.0,25.0,59.0,0.424,0.0,1.0,0.0,25.0,58.0,0.431,0.424,13.0,22.0,0.591,20.0,28.0,48.0,19.0,7.0,3.0,8.0,34.0,63.0,1981
4,Alvan Adams,C,26.0,PHO,75.0,0.0,2054.0,458.0,870.0,0.526,0.0,0.0,0.0,458.0,870.0,0.526,0.526,199.0,259.0,0.768,157.0,389.0,546.0,344.0,106.0,69.0,226.0,226.0,1115.0,1981
5,Darrell Allums,PF,22.0,DAL,22.0,0.0,276.0,23.0,67.0,0.343,0.0,1.0,0.0,23.0,66.0,0.348,0.343,13.0,22.0,0.591,19.0,46.0,65.0,25.0,5.0,8.0,23.0,51.0,59.0,1981
6,Tiny Archibald,PG,32.0,BOS,80.0,72.0,2820.0,382.0,766.0,0.499,0.0,9.0,0.0,382.0,757.0,0.505,0.499,342.0,419.0,0.816,36.0,140.0,176.0,618.0,75.0,18.0,265.0,201.0,1106.0,1981
7,Dennis Awtrey,C,32.0,SEA,47.0,0.0,607.0,44.0,93.0,0.473,0.0,0.0,0.0,44.0,93.0,0.473,0.473,14.0,20.0,0.7,33.0,75.0,108.0,54.0,12.0,8.0,33.0,85.0,102.0,1981
8,James Bailey,PF,23.0,SEA,82.0,0.0,2539.0,444.0,889.0,0.499,1.0,2.0,0.5,443.0,887.0,0.499,0.5,256.0,361.0,0.709,192.0,415.0,607.0,98.0,74.0,143.0,219.0,332.0,1145.0,1981
9,Greg Ballard,SF,26.0,WSB,82.0,0.0,2610.0,549.0,1186.0,0.463,7.0,32.0,0.219,542.0,1154.0,0.47,0.466,166.0,196.0,0.847,167.0,413.0,580.0,195.0,118.0,39.0,117.0,194.0,1271.0,1981
10,Mike Bantom,SF,29.0,IND,76.0,0.0,2375.0,431.0,882.0,0.489,0.0,6.0,0.0,431.0,876.0,0.492,0.489,199.0,281.0,0.708,150.0,277.0,427.0,240.0,80.0,85.0,197.0,284.0,1061.0,1981
11,Billy Ray Bates,SG,24.0,POR,77.0,0.0,1560.0,439.0,902.0,0.487,14.0,54.0,0.259,425.0,848.0,0.501,0.494,170.0,199.0,0.854,71.0,86.0,157.0,196.0,82.0,6.0,149.0,120.0,1062.0,1981
12,Mel Bennett,PF,26.0,UTA,28.0,0.0,313.0,26.0,60.0,0.433,0.0,2.0,0.0,26.0,58.0,0.448,0.433,53.0,81.0,0.654,33.0,60.0,93.0,15.0,3.0,11.0,31.0,56.0,105.0,1981
13,Kent Benson,C,26.0,DET,59.0,0.0,1956.0,364.0,770.0,0.473,0.0,4.0,0.0,364.0,766.0,0.475,0.473,196.0,254.0,0.772,124.0,276.0,400.0,172.0,72.0,67.0,190.0,184.0,924.0,1981
14,Henry Bibby,PG,31.0,SDC,73.0,0.0,1112.0,118.0,306.0,0.386,32.0,95.0,0.337,86.0,211.0,0.408,0.438,67.0,98.0,0.684,25.0,49.0,74.0,200.0,47.0,2.0,76.0,85.0,335.0,1981
15,Larry Bird,PF,24.0,BOS,82.0,82.0,3239.0,719.0,1503.0,0.478,20.0,74.0,0.27,699.0,1429.0,0.489,0.485,283.0,328.0,0.863,191.0,704.0,895.0,451.0,161.0,63.0,289.0,239.0,1741.0,1981
16,Otis Birdsong,SG,25.0,KCK,71.0,0.0,2593.0,710.0,1306.0,0.544,10.0,35.0,0.286,700.0,1271.0,0.551,0.547,317.0,455.0,0.697,119.0,139.0,258.0,233.0,93.0,18.0,173.0,172.0,1747.0,1981
17,Norman Black,SG,23.0,DET,3.0,0.0,28.0,3.0,10.0,0.3,0.0,0.0,0.0,3.0,10.0,0.3,0.3,2.0,8.0,0.25,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,8.0,1981
18,Ron Boone,SG,34.0,UTA,52.0,0.0,1146.0,160.0,371.0,0.431,11.0,39.0,0.282,149.0,332.0,0.449,0.446,75.0,94.0,0.798,17.0,67.0,84.0,161.0,33.0,8.0,111.0,126.0,406.0,1981
19,Winford Boynes,SG,23.0,DAL,44.0,0.0,757.0,121.0,313.0,0.387,0.0,0.0,0.0,121.0,313.0,0.387,0.387,45.0,55.0,0.818,24.0,51.0,75.0,37.0,23.0,16.0,69.0,79.0,287.0,1981
20,Dudley Bradley,SG,23.0,IND,82.0,0.0,1867.0,265.0,559.0,0.474,2.0,16.0,0.125,263.0,543.0,0.484,0.476,125.0,178.0,0.702,70.0,123.0,193.0,188.0,186.0,37.0,122.0,236.0,657.0,1981
21,Mike Bratz,PG,25.0,CLE,80.0,0.0,2595.0,319.0,817.0,0.39,57.0,169.0,0.337,262.0,648.0,0.404,0.425,107.0,132.0,0.811,66.0,132.0,198.0,452.0,136.0,17.0,162.0,194.0,802.0,1981
22,Jim Brewer,PF,29.0,LAL,78.0,0.0,1107.0,101.0,197.0,0.513,0.0,2.0,0.0,101.0,195.0,0.518,0.513,15.0,40.0,0.375,127.0,154.0,281.0,55.0,43.0,58.0,48.0,158.0,217.0,1981
23,Ron Brewer,SG,25.0,TOT,75.0,0.0,1452.0,275.0,631.0,0.436,1.0,7.0,0.143,274.0,624.0,0.439,0.437,91.0,114.0,0.798,34.0,52.0,86.0,148.0,61.0,34.0,92.0,95.0,642.0,1981
26,Junior Bridgeman,SF,27.0,MIL,77.0,0.0,2215.0,537.0,1102.0,0.487,3.0,21.0,0.143,534.0,1081.0,0.494,0.489,213.0,241.0,0.884,78.0,211.0,289.0,234.0,88.0,28.0,150.0,182.0,1290.0,1981
27,Allan Bristow,SF,29.0,UTA,82.0,0.0,2001.0,271.0,611.0,0.444,5.0,18.0,0.278,266.0,593.0,0.449,0.448,166.0,198.0,0.838,103.0,327.0,430.0,383.0,63.0,3.0,171.0,190.0,713.0,1981
28,Dave Britton,PG,22.0,WSB,2.0,0.0,9.0,2.0,3.0,0.667,0.0,0.0,0.0,2.0,3.0,0.667,0.667,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,4.0,1981
29,Michael Brooks,SF,22.0,SDC,82.0,0.0,2479.0,488.0,1018.0,0.479,0.0,6.0,0.0,488.0,1012.0,0.482,0.479,226.0,320.0,0.706,210.0,232.0,442.0,208.0,99.0,31.0,163.0,234.0,1202.0,1981
30,Fred Brown,SG,32.0,SEA,78.0,0.0,1986.0,505.0,1035.0,0.488,23.0,64.0,0.359,482.0,971.0,0.496,0.499,173.0,208.0,0.832,53.0,122.0,175.0,233.0,88.0,13.0,131.0,141.0,1206.0,1981
31,Lewis Brown,C,25.0,WSB,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.4,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1981
32,Rickey Brown,C,22.0,GSW,45.0,0.0,580.0,83.0,162.0,0.512,0.0,0.0,0.0,83.0,162.0,0.512,0.512,16.0,21.0,0.762,52.0,114.0,166.0,21.0,9.0,14.0,31.0,103.0,182.0,1981
33,Joe Bryant,PF,26.0,SDC,82.0,0.0,2359.0,379.0,791.0,0.479,2.0,15.0,0.133,377.0,776.0,0.486,0.48,193.0,244.0,0.791,146.0,294.0,440.0,189.0,72.0,34.0,176.0,264.0,953.0,1981
34,Quinn Buckner,PG,26.0,MIL,82.0,0.0,2384.0,471.0,956.0,0.493,1.0,6.0,0.167,470.0,950.0,0.495,0.493,149.0,203.0,0.734,88.0,210.0,298.0,384.0,197.0,3.0,236.0,271.0,1092.0,1981
35,Tom Burleson,C,28.0,ATL,31.0,0.0,363.0,41.0,99.0,0.414,0.0,0.0,0.0,41.0,99.0,0.414,0.414,20.0,41.0,0.488,44.0,50.0,94.0,12.0,8.0,19.0,24.0,73.0,102.0,1981
36,Don Buse,SG,30.0,IND,58.0,0.0,1095.0,114.0,287.0,0.397,19.0,58.0,0.328,95.0,229.0,0.415,0.43,50.0,65.0,0.769,19.0,65.0,84.0,140.0,74.0,8.0,38.0,61.0,297.0,1981
37,Marty Byrnes,SF,24.0,DAL,72.0,0.0,1360.0,216.0,451.0,0.479,9.0,20.0,0.45,207.0,431.0,0.48,0.489,120.0,157.0,0.764,74.0,103.0,177.0,113.0,29.0,17.0,61.0,126.0,561.0,1981
